"Time_ka","ecc_LA11"
50308,0.01402696
50309,0.013236849
50310,0.01256396
50311,0.011942757
50312,0.011301489
50313,0.010863182
50314,0.010482237
50315,0.010181025
50316,0.01009751
50317,0.010137419
50318,0.010277675
50319,0.010682069
50320,0.011119412
50321,0.011778271
50322,0.012477938
50323,0.013314451
50324,0.014251804
50325,0.015187334
50326,0.016254816
50327,0.01736766
50328,0.018469187
50329,0.019662
50330,0.020900809
50331,0.022095161
50332,0.023381275
50333,0.024669581
50334,0.025938203
50335,0.027241123
50336,0.028540259
50337,0.029856772
50338,0.03115442
50339,0.032380366
50340,0.033760321
50341,0.034920586
50342,0.036175083
50343,0.037411022
50344,0.038548077
50345,0.039725056
50346,0.040840141
50347,0.041955367
50348,0.043036747
50349,0.044057703
50350,0.04513777
50351,0.046103754
50352,0.047048513
50353,0.048044969
50354,0.048891275
50355,0.04976619
50356,0.050575855
50357,0.051353761
50358,0.052105917
50359,0.05271418
50360,0.053418261
50361,0.053950125
50362,0.054450448
50363,0.054922135
50364,0.055331825
50365,0.055637079
50366,0.055938127
50367,0.056162774
50368,0.056325443
50369,0.056442733
50370,0.056498606
50371,0.056528511
50372,0.056438247
50373,0.056336081
50374,0.056230846
50375,0.055956307
50376,0.055697628
50377,0.055438197
50378,0.054988192
50379,0.054621747
50380,0.054092442
50381,0.053595902
50382,0.052993508
50383,0.052321173
50384,0.051688811
50385,0.050937304
50386,0.050141496
50387,0.049395039
50388,0.048517318
50389,0.047645044
50390,0.04675683
50391,0.045805566
50392,0.044854051
50393,0.043801371
50394,0.042841012
50395,0.041761263
50396,0.04065463
50397,0.039626337
50398,0.03846391
50399,0.037347852
50400,0.036189106
50401,0.035038371
50402,0.033861747
50403,0.032667183
50404,0.031481051
50405,0.030333311
50406,0.029090451
50407,0.027966262
50408,0.026813689
50409,0.025635911
50410,0.024557966
50411,0.023478636
50412,0.022400304
50413,0.021411477
50414,0.020447445
50415,0.019539439
50416,0.018707207
50417,0.017907982
50418,0.017276875
50419,0.016630285
50420,0.016132347
50421,0.015805287
50422,0.015474712
50423,0.015341921
50424,0.015388186
50425,0.015401586
50426,0.015706118
50427,0.016033729
50428,0.016494342
50429,0.01704908
50430,0.017694705
50431,0.018418427
50432,0.01920523
50433,0.020029799
50434,0.020959957
50435,0.021893908
50436,0.022832359
50437,0.023927726
50438,0.024915622
50439,0.025980348
50440,0.027119932
50441,0.028183068
50442,0.029292226
50443,0.030428454
50444,0.031526602
50445,0.032656064
50446,0.03371976
50447,0.034841396
50448,0.035936382
50449,0.036928636
50450,0.038058975
50451,0.039028948
